Name,Volcano,Latitude,Longitude,Climate zone,Date of onset,Magma type,VEI,Height lower bound (km a.v.l.),Height upper bound (km a.v.l.),Plume height (km a.v.l.),Height method,Volume lower bound (km^3),Volume upper bound (km^3),Volume (km^3),MER lower bound (kg/s),MER upper bound (kg/s),MER (kg/s),Duration lower bound (hours),Duration upper bound (hours),Duration (hours)
"St. Helens, March 2005",St. Helens,46.2,-122.18,Temperate,3/8/2005,dacite,2,,,9.6,visual,,,0.0001,,,4.00E+05,,,0.5
"St. Helens, July 1980",St. Helens,46.2,-122.18,Temperate,7/22/1980,dacite,2,,,10.3,radar,,,0.001,,,1.40E+06,,,0.45
"St. Helens, 25 May 1980",St. Helens,46.2,-122.18,Temperate,5/25/1980,dacite,3,,,10.2,radar,,,0.016,,,2.00E+07,0.00,0.50,0.5
St. Helens,St. Helens,46.2,-122.18,Temperate,6/12/1980,dacite,3,,,9.6,radar,,,0.017,,,2.00E+07,,,0.5
"Pinatubo, Philippines, 12 June 1991",Pinatubo,15.13,120.35,Tropical,6/12/1991,dacite,3,,,17.5,radar,,,0.0056,,,6.00E+06,,,0.63
"Ruapehu, NZ",Ruapehu,-39.28,175.57,Subtropics,6/17/1996,andesite,3,,,5.7,satellite,,,0.002,,,2.00E+05,,,6.5
"Redoubt, USA",Redoubt,60.485,-152.742,Cold,12/15/1989,andesite,3,,,9,visual,,,0.008,4.00E+06,7.00E+06,5.50E+06,,,1.03
"Nevado del Ruiz, Colombia",Nevado del Ruiz,4.892,-75.324,Tropical,11/13/1985,"andesite, dacite",3,,,26,isopleth,,,0.014,,,3.00E+07,,,0.3
"Spurr, USA, June 1992",Spurr,61.299,-152.251,Cold,6/27/1992,andesite,3,,,11.3,radar,,,0.012,,,2.00E+06,,,4.4
"Spurr, USA, August 1992",Spurr,61.299,-152.251,Cold,8/18/1992,andesite,3,,,10.5,radar,,,0.014,,,3.00E+06,,,3.5
"Spurr, USA, September 1992",Spurr,61.299,-152.251,Cold,9/17/1992,andesite,3,,,10.7,radar,,,0.015,,,3.00E+06,,,3.6
"Hekla, 1970",Hekla,63.983,-19.666,Cold,5/5/1970,andesite,3,12,16,14,visual,,,0.017,,,6.00E+06,,,2
"Hekla, 1980",Hekla,63.983,-19.666,Cold,8/17/1980,andesite,3,,,15,visual,,,0.019,,,2.00E+06,,,5
"Reventador, Ecuador",Reventador,-0.077,-77.656,Tropical,11/3/2002,andesite,4,,,17,visual,,,0.12,,,1.00E+07,,,22
"Hekla, 1947 brownish-gray ash",Hekla,63.983,-19.666,Cold,3/29/1947,andesite,4,,,28,visual,,,0.034,,,4.60E+07,,,0.5
"Hekla, 1947 brownish-black ash",Hekla,63.983,-19.666,Cold,3/29/1947,andesite,4,8,25,16.5,visual,,,0.013,,,1.60E+07,,,0.5
"Soufrière, St. Vincent",Soufrière St. Vincent,13.33,-61.18,Tropical,5/7/1902,"andesite, dacite",4,,,14,visual,,,0.14,3.00E+07,4.00E+07,3.50E+07,2.50,3.50,3
"El Chichón A, Mexico, March 1982",El Chichón,17.36,-93.228,Tropical,3/29/1982,andesite,5,,,20,isopleth,,,0.3,,,3.50E+07,,,5
