category,joke
puns,"""I'm reading a book about anti-gravity. It's impossible to put down!"""
puns,"""Did you hear about the mathematician who's afraid of negative numbers? He'll stop at nothing to avoid them."""
puns,"""I would tell you a chemistry joke, but I know I wouldn't get a reaction."""
puns,"""Why don't skeletons fight each other? They don't have the guts."""
puns,"""I used to be a baker, but I couldn't make enough dough."""
puns,"""I wanted to be a professional fisherman, but I couldn't live off my net income."""
puns,"""I told my wife she was drawing her eyebrows too high. She looked surprised."""
puns,"""I used to play piano by ear, but now I use my hands."""
puns,"""I once had a job at a calendar factory, but I got fired because I took a couple of days off."""
puns,"""I'm terrible at math, but I hear calculus is really integral to life."""
puns,"""I stayed up all night to see where the sun went, and then it dawned on me."""
puns,"""The guy who invented the door knocker got a No-bell prize."""
puns,"""How do you organize a space party? You planet."""
puns,"""I was wondering why the ball was getting bigger, and then it hit me."""
puns,"""What's the best thing about Switzerland? I don't know, but the flag is a big plus."""
puns,"""I bought some shoes from a drug dealer. I don't know what he laced them with, but I've been tripping all day."""
puns,"""I couldn't figure out how to put my seatbelt on, but then it clicked."""
puns,"""I told my computer I needed a break, and now it won't stop sending me Kit-Kats."""
puns,"""The rotation of Earth really makes my day."""
puns,"""Why do cows have hooves instead of feet? Because they lactose."""
puns,"""Why was the broom late? It swept in."""
puns,"""I gave all my dead batteries away today. Free of charge."""
puns,"""What do you call fake spaghetti? An impasta."""
puns,"""I used to be addicted to the hokey pokey, but then I turned myself around."""
puns,"""Why don't some couples go to the gym? Because some relationships don't work out."""
puns,"""I tried to catch some fog earlier. I mist."""
puns,"""I once got into so much debt that I couldn't even afford my electricity bills. They were shocking."""
puns,"""I bought a belt made of watches. It was a complete waist of time."""
puns,"""I went to a seafood disco last week. Pulled a mussel."""
puns,"""Did you hear about the guy who got hit in the head with a soda can? He was lucky it was a soft drink."""
puns,"""I have a fear of speed bumps, but I'm slowly getting over it."""
puns,"""I don’t trust stairs because they’re always up to something."""
puns,"""I told my wife she was drawing her eyebrows too high. She looked surprised."""
puns,"""I can't believe I got fired from the calendar factory. All I did was take a day off."""
puns,"""I'm reading a book on glue. I can't seem to put it down."""
puns,"""The future, the present, and the past walk into a bar. Things got a little tense."""
puns,"""I don't trust people who do acupuncture. They're back stabbers."""
puns,"""Did you hear about the circus fire? It was in tents."""
puns,"""I’m on a whiskey diet. I’ve lost three days already."""
puns,"""My wife told me to stop impersonating a flamingo. I had to put my foot down."""
puns,"""Parallel lines have so much in common. It’s a shame they’ll never meet."""
puns,"""The shovel was a ground-breaking invention."""
puns,"""I’m friends with all the walls in my house. We’re tight."""
puns,"""The man who survived pepper spray and mustard gas is now a seasoned veteran."""
puns,"""Did you hear about the kidnapping at school? It’s fine, he woke up."""
puns,"""What did one wall say to the other wall? I’ll meet you at the corner."""
puns,"""I told my wife she should embrace her mistakes… she gave me a hug."""
puns,"""When does a joke become a dad joke? When it becomes apparent."""
puns,"""Why can't you give Elsa a balloon? Because she will let it go!"""
observational,"""Have you ever noticed how people who claim to 'sleep like a baby' usually don't have one?"""
observational,"""Isn’t it weird how when you’re single, all you see are happy couples, and when you’re in a relationship, all you see are happy singles?"""
observational,"""Why is it that when you drive by farms, you see cows standing, but when you walk near them, they lay down?"""
observational,"""Have you ever noticed that the phrase 'I'm just being honest' is usually followed by something really rude?"""
