Volcano,Latitude,Longitude,Eruption,Plume style,Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (1/s),Average wind speed (m/s),Average wind shear (1/s),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
Agung,-8.342,115.108,March 1963,Unknown,16/03/1963 21:30:00,3142,17.5,5,5.20E+11,2.60E+11,5,1.5,4.3,2.7,0.0138308395352113,12.4570742031192,0.00122386977180127,280.870699441502,698.212984017816,70.0241104718915,0.00653572310070455," Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)",Large uncertainty on erupted mass related to quality of isopach map; we assigned a 50% uncertainty but a larger value may be appropriate.
Agung,-8.342,115.108,May 1963,Unknown,16/05/1963 08:30:00,3142,16.5,5,3.30E+11,1.70E+11,4.5,1,4.3,2.7,0.0127718514002472,8.05096488657578,0.000707261997768495,283.979750100769,698.052285202235,23.6325361269676,0.00272064469419267," Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)",Large uncertainty on erupted mass related to quality of isopach map; we assigned a 50% uncertainty but a larger value may be appropriate.
Anatahan,16.35,145.67,May 2003,Unknown,10/05/2003 02:20:00,764,8.25,4,2.70E+10,1.30E+10,39,9,2.1,1.3,0.0120840230096421,5.08357580202514,0.000826123863605536,295.911336569964,927.61875442841,58.6154788006139,0.0109701095179796,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005)",We assumed 50% uncertainty on erupted mass
Anatahan,16.35,145.67,June 2003,Unknown,14/06/2003 11:00:00,764,2.3,0.65,9.25E+09,4.60E+09,44,4,2.1,1.3,0.0118658567253232,3.59358173838788,0.00267254025235513,296.375369149923,927.877043999624,60.5891574581466,0.0116791542558604,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005)",We assumed 50% uncertainty on erupted mass
Augustine,59.363,-153.43,2006,Unknown,17/01/2006 16:58:00,1252,12.2,1.5,1.73E+09,8.50E+08,0.07,0.02,3.2,1,0.0161646922958103,3.59661357107172,0.000518880665542199,268.437525829982,852.309367513885,66.2606263114076,0.00210782253032752,"Wallace et al (2006), Webster et al (2006)",We assumed 50% uncertainty on erupted mass
Bezymianny,55.972,160.595,2006,Unknown,24/12/2006 09:17:00,2882,10,2,5.50E+09,1.50E+09,0.88,0.25,1.9,0.8,0.017668922214645,11.8097443399856,0.00234232763083745,249.142457327124,686.011969314128,82.7060698127713,0.000672880966477984,"Malik (2011), Carter et al (2011), Shcherbakov et al (2011), Moseenko and Malik (2015)",Duration based on seismic observations; 15 min uncertainty arbitrarly assumed
Bezymianny,55.972,160.595,2009,Unknown,16/12/2009 21:45:00,2882,7,4,3.40E+09,1.70E+09,2.3333,1.167,,,0.0123873149737731,20.3831264003465,0.00433710214180791,255.618377449375,691.541587203014,70.998067706243,0.000992417184876481,"Global Volcanism Program (December 2009), Moiseenko (2014)","No uncertainty on erupted mass: we thus assumed a 50% uncertainty. However, note that 3.4 109kg is considered as a lower estimate by Moiseenko (2014) due to the lack of proximal and distal data."
Calbuco,-41.326,-72.614,2015 phase 1,Strong,22/04/2015 21:04:00,2003,13,2.5,5.70E+10,2.40E+10,1.5,0.25,4.5,1,0.0119067137295517,13.7556066475158,0.00176409288577194,280.353528444424,800.049447150756,51.6411712961938,0.0038758690936149,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016)",The interpretation of the timing of deposition of tephra layers is different in Romero et al. (2016) and Castruccio et al. (2016). We followed the interpretation of Castruccio et al. (2016) which is the most recent study.
Calbuco,-41.326,-72.614,2015 phase 2,Strong,23/04/2015 03:54:00,2003,15,3,3.20E+11,8.30E+10,6,0.25,4.5,1,0.0131989501173855,14.8472982795873,0.0015776312716918,281.038516730248,799.010446042114,50.6541191519245,0.00396692591113354,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016)",The interpretation of the timing of deposition of tephra layers is different in Romero et al. (2016) and Castruccio et al. (2016). We followed the interpretation of Castruccio et al. (2016) which is the most recent study.
Chikurachki,50.324,155.461,1986,Unknown,19/11/1986 05:30:00,1815,8,3,3.20E+11,1.60E+11,86,26,2.9,2.3,0.0136068735020249,5.22796057652666,0.00103720186772803,261.264895347346,797.982449513556,74.6215268256176,0.00146146590807459,"Global Volcanism Program (November 1986), Belousova and Belousov (2001),  Gurenko et al (2005), personnal communication with Marina Belousova and Alexander Belousov (November 2016)",
Cordon Caulle,-40.59,-72.117,2011 A-F,Strong,04/06/2011 18:30:00,1500,10.5,2,4.20E+11,9.00E+10,27,3,4.6,0.9,0.0118534439580337,14.5004916606113,0.00247625479110926,276.40445339066,847.072549528393,85.7643277112025,0.00483206745510863,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016)",
Cordon Caulle,-40.59,-72.117,2011 H,Unknown,07/06/2011 05:00:00,1500,9.5,3,1.30E+11,4.00E+10,7.5,4.5,4.6,0.9,0.0114517046498483,34.1529209869457,0.00609304538592685,275.370526980343,834.506578661007,96.0705938792076,0.00511548680777002,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016)","There is a large uncertainty on the timing of this phase, and thus on the average plume height too. We assume larger uncertainties on plume height than Bonadonna et al. (2015) because the range given is for a date range that match very roughly the supposed timing for layer deposition."
Cordon Caulle,-40.59,-72.117,2011 K2,Unknown,07/06/2011 11:00:00,1500,6,3,2.80E+10,7.00E+09,7.5,4.5,4.6,0.9,0.0103183414594175,29.9062743806187,0.00769560394521044,274.343944765992,834.324405582332,96.2084859541103,0.00475325551864533,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016)","There is a large uncertainty on the timing of this phase, and thus on the average plume height too. We assume larger uncertainties on plume height than Bonadonna et al. (2015) because the range given is for a date range that match very roughly the supposed timing for layer deposition."
Cerro Negro,12.506,-86.702,1968,Weak,24/10/1968 00:00:00,728,1.5,1,1.30E+10,6.00E+09,1008,144,,,0.0118768825211032,5.78247894943994,0.00578914989035767,294.017363491468,931.778230130958,91.9905925394951,0.0152293461893185,"Global Volcanism Program (1968), Hills et al (1998), Sulpizio (2005)","The uncertainty on erupted mass would be +/-0.15 1010kg based on differences between Hills et al (1998) and Sulpizio (2005), but this uncertainty seems unreallistically low and we assumed a 50% uncertainty. Hills et al (1998) report an eruption duration of 48 days, but the reported fallout duration is 42 days: we thus assume a duration of 42 days with an uncertainty of 6 days."
Cerro Negro,12.506,-86.702,1971,Unknown,03/02/1971 16:00:00,728,5.3,3,4.20E+10,2.10E+10,168,24,4.1,0.9,0.0134151476543315,5.36056447474517,0.00136495388265255,293.556901628062,931.239140363444,88.4111092290722,0.0142460404477667,"Global Volcanism Program (1971), Hills et al (1998), Sulpizio (2005), Portnyagin et al (2014)","The uncertainty on erupted mass would be +/-0.6 1010kg based on differences between Hills et al (1998) and Sulpizio (2005), but this uncertainty seems unreallistically low and we assumed a 50% uncertainty.We arbitrarly assumed an uncertainty of 1 day for the eruption duration"
Cerro Negro,12.506,-86.702,1992,Unknown,10/04/1992 05:20:00,728,5,2,2.90E+10,1.40E+10,37,20,3.8,1,0.0122897006961601,6.84853155010814,0.00173199076914811,296.199166755517,930.431974485874,77.4983304971855,0.0145941313891951,"Global Volcanism Program (1992) , Hills et al (1998), Portnyagin et al (2014)",Hills et al (1998) report a fall duration of 0.7 days but Global Volcanism Program (1992) reports almost 3 days of explosive activity so that we took a large uncertainty on eruption duration. We assumed 50% uncertainty on erupted mass.
