Event,,,,,,,,,,,Style,,Duration,,,,TEM,,,,,Density,,Tephra plume top height,,,,,Spreading height of the Umbrella Cloud,,,,,SO2 plume height,,,,,PDC,,TEM metadata,,,,,,Collection,,TGSD metadata,,,,TGSD ,Vent Diameter (m),,Exit velocity (m/s),,Magma water content (wt.%),,Magma temperature (deg C),,Atmospheric Conditions,,,,,,References
Volcano,Alternative Volcano Names,GVP volcano number,GVP eruption number,Latitude (degrees),Longitude (degrees),Vent altitude (m a.s.l.),Event Year,Event Name,IVESPA ID,Date and Time (dd/mm/yyyy hh:mm:ss UTC),Eruption style,Plume morphology,Duration Best estimate (hours),Duration Best Estimate Flag,Duration Uncertainty (hours),Duration Uncertainty Flag,TEM Best estimate (kg),TEM Best Estimate Flag,TEM Uncertainty low (kg),TEM Uncertainty high (kg),TEM Uncertainty Flag,Bulk density of tephra-fallout deposit (kg/m^3),Mass derived from volume?,Tephra Plume Top Best estimate (km a.s.l.),Tephra Plume Top Best Estimate Flag,Tephra Plume Top Uncertainty (km a.s.l.),Tephra Plume Top Uncertainty Flag,Tephra Plume Top Method,Spreading height of the Umbrella Cloud Best estimate (km a.s.l.),Spreading height of  the Umbrella Cloud Best Estimate Flag,Spreading height of  the Umbrella Cloud Uncertainty (km a.s.l.),Spreading height of  the Umbrella Cloud Uncertainty Flag,Spreading height of ash Method,SO2 height Best estimate (km a.s.l.),SO2 height Best Estimate Flag,SO2 height Uncertainty (km a.s.l.),SO2 height Uncertainty Flag,SO2 height Method,Mass of PDC Best estimate (kg),Mass of PDC Uncertainty,Isopach/isomass map number of measurements,Isopach/isomass map min measurement distance (km),Isopach/isomass map max measurement distance (km),Number of isopach/isomass line,Min thickness in isopach mass (cm),Min mass/area in isomass map (kg/m^2),Fraction of the tephra-fallout deposit lost to sea/ocean,Delay between eruption and collection (months),TGSD Available,TGSD Number of sampling sites,TGSD Min sampling distance (km),TGSD Max sampling distance (km),Median grain size (phi unit),Vent Diameter	 Best estimate (m),Vent Diameter Uncertainty (m),Exit velocity Best estimate (m/s),Exit velocity Uncertainty (m/s),Magma water content Best estimate (wt.%),Magma water content Uncertainty (wt.%),Magma temperature Best estimate (deg C),Magma temperature Uncertainty (deg C),Average wind speed NOAA reanalyses (m/s),Average Brunt-Väisälä frequency NOAA reanalyses (1/s),Average wind shear NOAA reanalyses (1/s),Average wind speed ERA reanalyses (m/s),Average Brunt-Väisälä frequency ERA reanalyses (1/s),Average wind shear ERA reanalyses (1/s),References
str,str,int,int,float,float,float,int,str,str,datetime,str,str,float,int,float,int,float,int,float,float,int,float,str,float,int,float,int,str,float,int,float,int,str,float,int,float,int,str,float,float,int,float,float,int,float,float,str,str,bool,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str
Agung,"Peak of Bali, Agoeng, Carang Assam",264020,16210,-8.343,115.508,3142,1963,March,AGU1963_01,16/03/1963 22:30:00,magmatic,Unknown,5.25,1,1.75,1,3.74E+11,0,6.24E+10,2.50E+11,1,1040,yes,13,2,6.5,2,u,10,2,5,2,v,19,2,3,2,o,1.02E+11,6.10E+10,Unknown,Unknown,Unknown,8,1,Unknown,some,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.3,2.7,1070,30,10.082076127803,0.0107831556322885,0.00194010080123735,3.57163573428847,0.0100030040336663,0.000512981677721318,"Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)"
Agung,"Peak of Bali, Agoeng, Carang Assam",264020,16210,-8.343,115.508,3142,1963,May,AGU1963_02,16/05/1963 09:29:59,magmatic,Unknown,4.5,0,0.5,0,3.54E+11,0,Unknown,Unknown,na,1040,yes,13,2,6.5,2,u,10,2,5,2,v,19,2,3,2,o,1.52E+11,9.14E+10,Unknown,Unknown,Unknown,8,1,Unknown,significant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.3,2.7,1070,30,8.18631367580934,0.0106123023709304,0.00134254387229636,8.76241838866485,0.0100283652863301,0.00156412769491669,"Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)"
Anatahan,NA,284200,18535,16.35,145.67,0,2003,May,ANA2003_01,10/05/2003 07:30:00,phreatomagmatic,Unknown,35,1,5,0,2.93E+10,0,Unknown,Unknown,na,1400,yes,8,1,3,1,"v,s",7,1,3,1,s,10,0,5,0,s,0.00E+00,0.00E+00,13,0.5,7,4,20,Unknown,significant,2.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.9,1.4,1050,50,5.43757180873154,0.0119685329026582,0.000786466883462413,6.43651926609031,0.011966502719883,0.0010610884476104,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005), Guffanti et al. (2005)"
Anatahan,NA,284200,18535,16.35,145.67,0,2003,June,ANA2003_02,13/06/2003 13:55:00,phreatomagmatic,Unknown,48,1,7.5,1,9.25E+09,0,Unknown,Unknown,na,1400,yes,2.5,0,1.5,2,"v,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,13,0.5,7,4,1,Unknown,some,1.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.9,1.4,1050,50,2.79892902053931,0.0115242232122041,0.00186032545951582,3.23093578309651,0.0118519604175599,0.00191364744356332,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005), Guffanti et al. (2005)"
Augustine,"Chernabura, St. Augustine, Mount Chinabora, Pilon d'Azucar, Pan de Azucar, Saint Augustine",313010,20273,59.363,-153.43,1252,2006,"Event 9, 17 June",AUG2006_01,17/01/2006 16:58:00,Unknown,Unknown,0.0697,0,0.023001,2,1.73E+09,0,Unknown,Unknown,na,1000,no,13.5,0,1.5,0,r,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,12,1.5,90,5,Unknown,0.01,some,7,no,NA,NA,NA,Unknown,30,Unknown,110,Unknown,3.2,1.2,950,100,4.37279765326245,0.0152099410954102,0.000611503662065864,5.99352441445854,0.0152984179088677,0.000759625866729629,"Wallace et al (2006), Webster et al (2006), Caplan-Auerbach et al (2010), Global Volcanism Program (2006)"
Bezymianny,"Bezymjannaja Sopka, Besymyannaya, Bezymyannyi",300250,19336,55.972,160.595,3085,1956,30 March,BEZ1956_01,30/03/1956 05:11:05,magmatic,Strong,2.5,1,1.5,1,5.00E+11,1,2.00E+11,2.00E+11,2,1000,yes,39.5,1,5.5,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,1.16E+12,3.00E+11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,500,Unknown,2.5,1.5,890,40,9.97392243695337,0.0202681178820682,0.000477032915787475,17.699317621854,0.0200172797011959,0.000776498009471125,"Slezin (2015), Plechov et al. (2008), Gorshkov (1959), Belousov et al. (1998), Belousov (1996), Shcherbakov et al. (2013), Zharinov et al. (2011)"
Bezymianny,"Bezymjannaja Sopka, Besymyannaya, Bezymyannyi",300250,19361,55.972,160.595,2882,1984,13 October,BEZ1984_01,12/10/1984 22:59:59,Unknown,Strong,30,1,9,2,1.10E+10,1,Unknown,Unknown,na,1000,yes,7.5,0,2.5,1,u,Unknown,na,na,na,u,9,0,1.5,2,u,2.12E+10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,28.5714804120384,0.0114806090985285,0.0102447715662292,30.675098859938,0.0114091085085178,0.0109351287820979,"Zharinov et al. (2011), Manen et al. (2010), Girina (2013), Global Volcanism Program (1984)"
Bezymianny,"Bezymjannaja Sopka, Besymyannaya, Bezymyannyi",300250,19382,55.972,160.595,2882,2005,11 January,BEZ2005_01,11/01/2005 08:02:00,Unknown,Unknown,5.75,0,1.75,0,5.00E+10,0,Unknown,Unknown,na,1000,yes,Unknown,na,na,na,na,8.5,1,1.5,1,s,Unknown,na,na,na,u,8.90E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,26.4761849423913,0.0123023826699399,0.00794035413262089,27.4548216657004,0.00964240147877174,0.00817029287596502,"Zharinov et al. (2011), Manen et al. (2010), Girina (2013), Global Volcanism Program (2005)"
